,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_workers,actual_productivity,quarter_Quarter2,quarter_Quarter3,quarter_Quarter4,quarter_Quarter5,department_finishing ,department_sweing,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,team_2,team_3,team_4,team_5,team_6,team_7,team_8,team_9,team_10,team_11,team_12,no_of_style_change_1,no_of_style_change_2
0,0.8,26.16,1108.0,7080,98,0.0,0,59.0,0.940725424,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0.75,3.94,974.0254237288135,960,0,0.0,0,8.0,0.8865,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.8,11.41,968.0,3660,50,0.0,0,30.5,0.800570492,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,0.8,11.41,968.0,3660,50,0.0,0,30.5,0.800570492,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,0.8,25.9,1170.0,1920,50,0.0,0,56.0,0.800381944,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,0.8,25.9,984.0,6720,38,0.0,0,56.0,0.800125,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,0.75,3.94,974.0254237288135,960,0,0.0,0,8.0,0.755166667,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,0.75,28.08,795.0,6900,45,0.0,0,57.5,0.753683478,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,0.75,19.87,733.0,6000,34,0.0,0,55.0,0.753097531,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,0.75,28.08,681.0,6900,45,0.0,0,57.5,0.750427826,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.7,28.08,872.0,6900,44,0.0,0,57.5,0.721126957,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11,0.75,19.31,578.0,6480,45,0.0,0,54.0,0.712205247,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12,0.8,11.41,668.0,3660,50,0.0,0,30.5,0.707045902,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13,0.65,3.94,974.0254237288135,960,0,0.0,0,8.0,0.705916667,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,0.75,2.9,974.0254237288135,960,0,0.0,0,8.0,0.676666667,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15,0.75,3.94,974.0254237288135,2160,0,0.0,0,18.0,0.593055556,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16,0.8,2.9,974.0254237288135,960,0,0.0,0,8.0,0.540729167,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,0.65,23.69,861.0,7200,0,0.0,0,60.0,0.52118,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18,0.7,4.15,974.0254237288135,1440,0,0.0,0,12.0,0.436326389,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
